gh_username,n_commits,n_pr_merged,n_issues_opened,n_comments,n_lines,score
tifecool,4,0,0,7,1488,0.3573701821698949
deepink-mas,5,0,0,0,1438,0.3437391470290863
debris,8,0,0,0,1388,0.334019626319988
PieWol,2,2,1,11,1372,0.331530480772536
maksimryndin,5,5,0,31,1256,0.3145805849017914
wentelteefje,3,3,0,6,1287,0.3104320089893714
kaichaosun,11,0,0,2,1249,0.30391281826985417
Overkillus,3,3,6,42,1187,0.3023719186452411
dharjeezy,13,2,3,28,1170,0.2984604042135308
rahulksnv,3,3,2,21,1175,0.29016325238869084
AurevoirXavier,13,2,0,12,1147,0.28589614573591593
gautamdhameja,11,0,0,0,1167,0.2837625924095285
bredamatt,4,0,2,9,1136,0.27558397132504336
Wizdave97,7,0,0,1,1138,0.27439866392149476
ltfschoen,36,0,0,0,1002,0.2624270591456542
AlexD10S,4,1,0,2,1081,0.2597008521174925
ayevbeosa,4,0,0,0,1086,0.2595823213771376
rzadp,4,1,0,2,1046,0.25140370029265247
shaunxw,55,0,1,0,888,0.2493886777066199
danforbes,17,0,0,3,924,0.23149053591303642
Xanewok,10,0,0,0,857,0.20956234894738782
muraca,6,4,5,34,797,0.20932528746667808
RGafiyatullin,3,0,0,6,854,0.20600642673674208
wischli,2,0,0,9,795,0.1923753915959335
sjeohp,5,0,0,0,794,0.19107155345203006
rcny,51,7,0,8,593,0.1831299938482546
dastansam,3,3,0,16,723,0.180285256079738
mrshiposha,4,0,2,4,740,0.17992966385867346
jasl,13,2,1,55,625,0.17791464127264087
Dinonard,5,1,2,2,723,0.17649227238838258
liuchengxu,38,0,2,14,593,0.17281781943738203
lsaether,6,0,1,0,663,0.161201806882606
BulatSaif,10,5,0,20,593,0.15705323097018603
lemunozm,2,0,1,3,653,0.15705323097018598
haerdib,1,0,1,0,612,0.14555574915576486
philoniare,3,3,1,32,529,0.14045892732050597
weichweich,6,0,0,1,555,0.13548063622560194
Artemka374,1,0,0,0,570,0.1351250440045374
brenzi,8,1,3,5,527,0.1337026751202791
HashWarlock,2,0,0,0,551,0.13133206031318195
sudipghimire533,2,0,0,4,531,0.12801319958324595
maciejhirsz,9,0,0,0,513,0.1273020151411168
insipx,5,0,0,0,520,0.12611670773756822
DaviRain-Su,2,0,0,0,528,0.12587964625685852
adelarja,2,2,0,10,484,0.12019017071982538
benluelo,5,1,2,7,472,0.1187678018355671
Bullrich,14,12,1,12,408,0.11781955591272822
PierreBesson,14,0,2,9,424,0.11390804148101795
guzzit,2,0,0,1,473,0.11319685703888879
stiiifff,2,0,0,0,440,0.10501823595440363
satellitex,2,0,0,0,437,0.10430705151227448
NukeManDan,33,1,5,8,310,0.10205496744553218
Lezek123,2,0,0,0,422,0.10075112930162877
kalaninja,2,0,0,0,414,0.09885463745595105
mustermeiszer,5,0,2,22,346,0.0936392848803373
jimmychu0807,10,0,1,0,358,0.09174279303465961
bizzyvinci,2,0,0,0,368,0.08794980934330417
conr2d,3,0,0,0,359,0.08652744045904587
louismerlin,2,1,0,2,344,0.08356417195017443
warfollowsme,2,0,0,0,346,0.08273445676769045
antonva,4,5,2,7,310,0.0820232723255613
nathanwhit,4,0,0,0,334,0.08131208788343215
nczhu,3,0,0,0,331,0.07988971899917387
jordy25519,5,0,1,0,323,0.07988971899917387
Daanvdplas,1,1,1,7,314,0.07799322715349614
fgamundi,2,1,1,2,307,0.07526702012533443
